Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 112.5 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.71588431232347 at t = 14400.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    89887.5     5.44980647E-05|17.1965367    |82.8034088         4.77705311E-05|17.1576018    |82.8423504    |100           
    90000.0     5.35231613E-05|17.1556532    |82.8442933         4.69082392E-05|17.1167622    |82.8831909    |100           
    90112.5     5.25656978E-05|17.1148669    |82.8850806         4.60615123E-05|17.0760198    |82.9239342    |100           
    90225.0     5.16253622E-05|17.0741775    |82.9257709         4.52300694E-05|17.0353743    |82.9645804    |100           
    90337.5     5.0701848E-05 |17.0335849    |82.9663644         4.44136346E-05|16.9948256    |83.00513      |100           
    90450.0     4.97948543E-05|16.9930887    |83.0068615         4.36119371E-05|16.9543734    |83.045583     |100           
    90562.5     4.89040856E-05|16.9526889    |83.0472622         4.28247108E-05|16.9140175    |83.0859397    |100           
    90675.0     4.80292517E-05|16.912385     |83.087567          4.20516944E-05|16.8737576    |83.1262003    |100           
    90787.5     4.71700675E-05|16.872177     |83.1277759         4.12926316E-05|16.8335935    |83.1663652    |100           
    90900.0     4.6326253E-05 |16.8320645    |83.1678892         4.05472703E-05|16.7935251    |83.2064344    |100           
    91012.5     4.54975333E-05|16.7920474    |83.2079071         3.98153634E-05|16.7535519    |83.2464082    |100           
    91125.0     4.46836384E-05|16.7521254    |83.2478299         3.90966679E-05|16.713674     |83.2862869    |100           
    91237.5     4.38843031E-05|16.7122983    |83.2876578         3.83909454E-05|16.6738909    |83.3260707    |100           
    91350.0     4.30992669E-05|16.6725659    |83.327391          3.76979616E-05|16.6342025    |83.3657598    |100           
    91462.5     4.23282741E-05|16.6329279    |83.3670297         3.70174868E-05|16.5946086    |83.4053544    |100           
    91575.0     4.15710733E-05|16.5933842    |83.4065742         3.63492949E-05|16.5551089    |83.4448548    |100           
    91687.5     4.0827418E-05 |16.5539345    |83.4460247         3.56931644E-05|16.5157032    |83.4842611    |100           
    91800.0     4.00970657E-05|16.5145785    |83.4853814         3.50488775E-05|16.4763913    |83.5235737    |100           
    91912.5     3.93797785E-05|16.4753161    |83.5246445         3.44162205E-05|16.437173     |83.5627926    |100           
    92025.0     3.86753227E-05|16.436147     |83.5638143         3.37949833E-05|16.398048     |83.6019182    |100           
    92137.5     3.79834688E-05|16.3970711    |83.6028909         3.318496E-05  |16.3590161    |83.6409507    |100           
    92250.0     3.73039913E-05|16.358088     |83.6418747         3.2585948E-05 |16.3200771    |83.6798903    |100           
    92362.5     3.66366688E-05|16.3191976    |83.6807658         3.19977485E-05|16.2812308    |83.7187372    |100           
    92475.0     3.59812838E-05|16.2803997    |83.7195644         3.14201665E-05|16.2424769    |83.7574916    |100           
    92587.5     3.53376229E-05|16.2416939    |83.7582707         3.08530103E-05|16.2038153    |83.7961538    |100           
    92700.0     3.47054764E-05|16.2030802    |83.7968851         3.02960916E-05|16.1652457    |83.834724     |100           
    92812.5     3.40846381E-05|16.1645583    |83.8354076         2.97492257E-05|16.1267679    |83.8732023    |100           
    92925.0     3.34749058E-05|16.126128     |83.8738386         2.92122311E-05|16.0883817    |83.9115891    |100           
    93037.5     3.2876081E-05 |16.087789     |83.9121781         2.86849297E-05|16.0500869    |83.9498845    |100           
    93150.0     3.22879683E-05|16.0495411    |83.9504266         2.81671464E-05|16.0118831    |83.9880887    |100           
    93262.5     3.17103763E-05|16.0113842    |83.9885841         2.76587095E-05|15.9737703    |84.026202     |100           
    93375.0     3.11431167E-05|15.973318     |84.0266509         2.71594502E-05|15.9357483    |84.0642246    |100           
    93487.5     3.05860046E-05|15.9353423    |84.0646272         2.66692029E-05|15.8978167    |84.1021566    |100           
    93600.0     3.00388586E-05|15.8974568    |84.1025131         2.61878049E-05|15.8599754    |84.1399984    |100           
    93712.5     2.95015004E-05|15.8596614    |84.1403091         2.57150965E-05|15.8222242    |84.1777501    |100           
    93825.0     2.89737549E-05|15.8219559    |84.1780151         2.52509208E-05|15.7845628    |84.215412     |100           
    93937.5     2.84554501E-05|15.78434      |84.2156316         2.47951238E-05|15.746991     |84.2529842    |100           
    94050.0     2.79464171E-05|15.7468135    |84.2531586         2.43475543E-05|15.7095087    |84.2904669    |100           
    94162.5     2.744649E-05  |15.7093762    |84.2905963         2.39080637E-05|15.6721156    |84.3278605    |100           
    94275.0     2.69555061E-05|15.672028     |84.3279451         2.34765062E-05|15.6348115    |84.365165     |100           
    94387.5     2.64733053E-05|15.6347685    |84.3652051         2.30527386E-05|15.5975962    |84.4023808    |100           
    94500.0     2.59997304E-05|15.5975975    |84.4023765         2.26366204E-05|15.5604694    |84.4395079    |100           
    94612.5     2.55346272E-05|15.560515     |84.4394595         2.22280134E-05|15.523431     |84.4765467    |100           
    94725.0     2.50778442E-05|15.5235206    |84.4764543         2.1826782E-05 |15.4864808    |84.5134974    |100           
    94837.5     2.46292324E-05|15.4866142    |84.5133612         2.14327931E-05|15.4496185    |84.55036      |100           
    94950.0     2.41886457E-05|15.4497954    |84.5501804         2.1045916E-05 |15.412844     |84.587135     |100           
    95062.5     2.37559406E-05|15.4130643    |84.586912          2.06660224E-05|15.376157     |84.6238224    |100           
    95175.0     2.33309761E-05|15.3764204    |84.6235563         2.0292986E-05 |15.3395573    |84.6604224    |100           
    95287.5     2.29136136E-05|15.3398636    |84.6601134         1.99266833E-05|15.3030447    |84.6969354    |100           
    95400.0     2.25037172E-05|15.3033938    |84.6965837         1.95669925E-05|15.266619     |84.7333614    |100           
    95512.5     2.21011534E-05|15.2670106    |84.7329673         1.92137945E-05|15.23028      |84.7697008    |100           
    95625.0     2.1705791E-05 |15.230714     |84.7692643         1.88669719E-05|15.1940275    |84.8059536    |100           
    95737.5     2.13175011E-05|15.1945036    |84.8054751         1.85264097E-05|15.1578613    |84.8421201    |100           
    95850.0     2.09361572E-05|15.1583793    |84.8415997         1.81919949E-05|15.1217812    |84.8782006    |100           
    95962.5     2.05616351E-05|15.1223409    |84.8776385         1.78636165E-05|15.085787     |84.9141952    |100           
    96075.0     2.01938128E-05|15.0863882    |84.9135916         1.75411656E-05|15.0498784    |84.9501041    |100           
    96187.5     1.98325703E-05|15.0505209    |84.9494592         1.72245351E-05|15.0140553    |84.9859275    |100           
    96300.0     1.947779E-05  |15.0147389    |84.9852416         1.69136201E-05|14.9783175    |85.0216656    |100           
    96412.5     1.91293563E-05|14.979042     |85.0209389         1.66083172E-05|14.9426647    |85.0573187    |100           
    96525.0     1.87871557E-05|14.9434299    |85.0565513         1.63085254E-05|14.9070968    |85.0928869    |100           
    96637.5     1.84510766E-05|14.9079025    |85.092079          1.60141449E-05|14.8716135    |85.1283705    |100           
    96750.0     1.81210095E-05|14.8724596    |85.1275223         1.57250783E-05|14.8362147    |85.1637696    |100           
    96862.5     1.7796847E-05 |14.8371009    |85.1628813         1.54412295E-05|14.8009001    |85.1990844    |100           
    96975.0     1.74784833E-05|14.8018263    |85.1981562         1.51625044E-05|14.7656696    |85.2343152    |100           
    97087.5     1.71658147E-05|14.7666355    |85.2333473         1.48888104E-05|14.730523     |85.2694621    |100           
    97200.0     1.68587394E-05|14.7315284    |85.2684547         1.46200569E-05|14.69546      |85.3045254    |100           
    97312.5     1.65571573E-05|14.6965048    |85.3034787         1.43561545E-05|14.6604805    |85.3395052    |100           
    97425.0     1.62609701E-05|14.6615644    |85.3384194         1.40970157E-05|14.6255842    |85.3744017    |100           
    97537.5     1.59700814E-05|14.626707     |85.373277          1.38425546E-05|14.590771     |85.4092152    |100           
    97650.0     1.56843963E-05|14.5919326    |85.4080517         1.35926867E-05|14.5560406    |85.4439458    |100           
    97762.5     1.54038217E-05|14.5572408    |85.4427438         1.33473291E-05|14.5213929    |85.4785937    |100           
    97875.0     1.51282663E-05|14.5226315    |85.4773534         1.31064004E-05|14.4868277    |85.5131592    |100           
    97987.5     1.48576402E-05|14.4881045    |85.5118807         1.28698206E-05|14.4523448    |85.5476424    |100           
    98100.0     1.45918553E-05|14.4536595    |85.5463259         1.26375112E-05|14.4179439    |85.5820435    |100           
    98212.5     1.4330825E-05 |14.4192965    |85.5806892         1.24093952E-05|14.3836249    |85.6163627    |100           
    98325.0     1.40744642E-05|14.3850151    |85.6149708         1.21853968E-05|14.3493876    |85.6506002    |100           
    98437.5     1.38226893E-05|14.3508152    |85.649171          1.19654418E-05|14.3152318    |85.6847563    |100           
    98550.0     1.35754184E-05|14.3166967    |85.6832898         1.17494571E-05|14.2811573    |85.718831     |100           
    98662.5     1.33325709E-05|14.2826592    |85.7173275         1.15373711E-05|14.2471638    |85.7528246    |100           
    98775.0     1.30940676E-05|14.2487027    |85.7512842         1.13291133E-05|14.2132513    |85.7867373    |100           
    98887.5     1.28598308E-05|14.2148269    |85.7851603         1.11246148E-05|14.1794196    |85.8205693    |100           
    99000.0     1.26297843E-05|14.1810316    |85.8189558         1.09238077E-05|14.1456683    |85.8543208    |100           
    99112.5     1.2403853E-05 |14.1473167    |85.8526709         1.07266252E-05|14.1119974    |85.8879919    |100           
    99225.0     1.21819633E-05|14.1136819    |85.8863059         1.0533002E-05 |14.0784066    |85.9215829    |100           
    99337.5     1.1964043E-05 |14.0801271    |85.919861          1.03428739E-05|14.0448958    |85.9550939    |100           
    99450.0     1.1750021E-05 |14.046652     |85.9533362         1.01561777E-05|14.0114647    |85.9885251    |100           
    99562.5     1.15398275E-05|14.0132566    |85.9867319         9.97285148E-06|13.9781132    |86.0218768    |100           
    99675.0     1.13333942E-05|13.9799405    |86.0200482         9.79283445E-06|13.9448411    |86.0551491    |100           
    99787.5     1.11306538E-05|13.9467037    |86.0532852         9.61606686E-06|13.9116482    |86.0883422    |100           
    99900.0     1.09315401E-05|13.9135458    |86.0864433         9.44249005E-06|13.8785343    |86.1214563    |100           
   100012.5     1.07359882E-05|13.8804668    |86.1195225         9.27204642E-06|13.8454992    |86.1544915    |100           
   100125.0     1.05439346E-05|13.8474664    |86.152523          9.10467942E-06|13.8125428    |86.1874481    |100           
   100237.5     1.03553166E-05|13.8145445    |86.1854451         8.94033351E-06|13.7796647    |86.2203263    |100           
   100350.0     1.01700727E-05|13.7817009    |86.218289          8.77895416E-06|13.746865     |86.2531262    |100           
   100462.5     9.98814265E-06|13.7489353    |86.2510547         8.62048783E-06|13.7141433    |86.2858481    |100           
   100575.0     9.80946707E-06|13.7162476    |86.2837426         8.46488192E-06|13.6814995    |86.318492     |100           
   100687.5     9.63398777E-06|13.6836376    |86.3163527         8.31208481E-06|13.6489334    |86.3510583    |100           
   100800.0     9.46164758E-06|13.6511052    |86.3488853         8.16204579E-06|13.6164448    |86.383547     |100           
   100912.5     9.29239035E-06|13.6186501    |86.3813406         8.01471509E-06|13.5840336    |86.4159584    |100           
   101025.0     9.12616092E-06|13.5862722    |86.4137187         7.87004381E-06|13.5516995    |86.4482927    |100           
   101137.5     8.96290513E-06|13.5539712    |86.4460198         7.72798395E-06|13.5194423    |86.48055      |100           
   101250.0     8.80256978E-06|13.5217471    |86.4782441         7.58848837E-06|13.4872619    |86.5127305    |100           
   101362.5     8.64510264E-06|13.4895995    |86.5103919         7.45151078E-06|13.4551582    |86.5448344    |100           
   101475.0     8.49045239E-06|13.4575284    |86.5424631         7.31700574E-06|13.4231308    |86.5768619    |100           
   101587.5     8.33856864E-06|13.4255335    |86.5744582         7.1849286E-06 |13.3911797    |86.6088131    |100           
   101700.0     8.18940191E-06|13.3936147    |86.6063772         7.05523556E-06|13.3593046    |86.6406883    |100           
   101812.5     8.04290359E-06|13.3617717    |86.6382202         6.92788356E-06|13.3275054    |86.6724877    |100           
   101925.0     7.89902594E-06|13.3300045    |86.6699876         6.80283036E-06|13.2957819    |86.7042113    |100           
   102037.5     7.75772208E-06|13.2983128    |86.7016795         6.68003446E-06|13.2641339    |86.7358594    |100           
   102150.0     7.61894598E-06|13.2666964    |86.733296          6.55945511E-06|13.2325612    |86.7674322    |100           
   102262.5     7.48265241E-06|13.2351552    |86.7648373         6.4410523E-06 |13.2010637    |86.7989298    |100           
   102375.0     7.34879696E-06|13.203689     |86.7963037         6.32478675E-06|13.1696412    |86.8303525    |100           
   102487.5     7.21733603E-06|13.1722976    |86.8276952         6.21061987E-06|13.1382934    |86.8617004    |100           
   102600.0     7.08822677E-06|13.1409808    |86.8590121         6.09851378E-06|13.1070203    |86.8929736    |100           
   102712.5     6.96142711E-06|13.1097385    |86.8902546         5.98843129E-06|13.0758216    |86.9241724    |100           
   102825.0     6.83689574E-06|13.0785704    |86.9214227         5.88033587E-06|13.0446971    |86.955297     |100           
   102937.5     6.71459209E-06|13.0474765    |86.9525168         5.77419164E-06|13.0136468    |86.9863475    |100           
   103050.0     6.5944763E-06 |13.0164565    |86.9835369         5.6699634E-06 |12.9826703    |87.017324     |100           
   103162.5     6.47650923E-06|12.9855102    |87.0144833         5.56761655E-06|12.9517676    |87.0482268    |100           
   103275.0     6.36065245E-06|12.9546375    |87.0453562         5.46711713E-06|12.9209384    |87.0790561    |100           
   103387.5     6.2468682E-06 |12.9238382    |87.0761556         5.36843179E-06|12.8901827    |87.109812     |100           
   103500.0     6.13511942E-06|12.8931121    |87.1068818         5.2715278E-06 |12.8595001    |87.1404946    |100           
   103612.5     6.02536968E-06|12.862459     |87.1375349         5.17637299E-06|12.8288905    |87.1711043    |100           
   103725.0     5.91758323E-06|12.8318789    |87.1681152         5.08293579E-06|12.7983539    |87.2016411    |100           
   103837.5     5.81172495E-06|12.8013714    |87.1986228         4.9911852E-06 |12.7678899    |87.2321051    |100           
   103950.0     5.70776034E-06|12.7709365    |87.2290578         4.90109078E-06|12.7374984    |87.2624967    |100           
   104062.5     5.60565553E-06|12.7405739    |87.2594205         4.81262262E-06|12.7071792    |87.292816     |100           
   104175.0     5.50537725E-06|12.7102835    |87.289711          4.72575138E-06|12.6769323    |87.323063     |100           
   104287.5     5.40689282E-06|12.6800651    |87.3199294         4.64044822E-06|12.6467573    |87.3532381    |100           
   104400.0     5.31017016E-06|12.6499186    |87.3500761         4.55668484E-06|12.6166541    |87.3833413    |100           
   104512.5     5.21517775E-06|12.6198437    |87.380151          4.47443346E-06|12.5866226    |87.4133729    |100           
   104625.0     5.12188464E-06|12.5898404    |87.4101545         4.39366677E-06|12.5566626    |87.443333     |100           
   104737.5     5.03026042E-06|12.5599083    |87.4400866         4.31435797E-06|12.5267739    |87.4732218    |100           
   104850.0     4.94027525E-06|12.5300475    |87.4699476         4.23648076E-06|12.4969563    |87.5030395    |100           
   104962.5     4.85189981E-06|12.5002576    |87.4997376         4.16000928E-06|12.4672097    |87.5327861    |100           
   105075.0     4.76510529E-06|12.4705385    |87.5294567         4.08491817E-06|12.4375339    |87.562462     |100           
   105187.5     4.67986342E-06|12.4408901    |87.5591052         4.0111825E-06 |12.4079288    |87.5920672    |100           
   105300.0     4.59614642E-06|12.4113122    |87.5886832         3.93877782E-06|12.3783941    |87.621602     |100           
   105412.5     4.51392702E-06|12.3818046    |87.6181909         3.86768009E-06|12.3489297    |87.6510664    |100           
   105525.0     4.43317842E-06|12.3523672    |87.6476284         3.79786573E-06|12.3195355    |87.6804607    |100           
   105637.5     4.35387431E-06|12.3229997    |87.6769959         3.72931156E-06|12.2902112    |87.7097851    |100           
   105750.0     4.27598885E-06|12.2937021    |87.7062936         3.66199485E-06|12.2609567    |87.7390396    |100           
   105862.5     4.19949667E-06|12.2644741    |87.7355217         3.59589325E-06|12.2317718    |87.7682246    |100           
   105975.0     4.12437285E-06|12.2353156    |87.7646803         3.53098483E-06|12.2026565    |87.79734      |100           
   106087.5     4.05059289E-06|12.2062264    |87.7937695         3.46724806E-06|12.1736104    |87.8263862    |100           
   106200.0     3.97813277E-06|12.1772064    |87.8227896         3.40466178E-06|12.1446334    |87.8553632    |100           
   106312.5     3.90696887E-06|12.1482554    |87.8517407         3.34320522E-06|12.1157255    |87.8842712    |100           
   106425.0     3.837078E-06  |12.1193732    |87.880623          3.282858E-06  |12.0868863    |87.9131104    |100           
   106537.5     3.7684374E-06 |12.0905597    |87.9094366         3.22360009E-06|12.0581158    |87.941881     |100           
   106650.0     3.70102469E-06|12.0618147    |87.9381816         3.16541183E-06|12.0294138    |87.9705831    |100           
   106762.5     3.63481791E-06|12.033138     |87.9668584         3.1082739E-06 |12.00078      |87.9992168    |100           
   106875.0     3.56979549E-06|12.0045295    |87.995467          3.05216736E-06|11.9722145    |88.0277825    |100           
   106987.5     3.50593624E-06|11.975989     |88.0240075         2.99707358E-06|11.9437169    |88.0562801    |100           
   107100.0     3.44321935E-06|11.9475163    |88.0524802         2.94297428E-06|11.9152872    |88.0847099    |100           
   107212.5     3.3816244E-06 |11.9191114    |88.0808852         2.88985151E-06|11.8869251    |88.113072     |100           
   107325.0     3.3211313E-06 |11.890774     |88.1092227         2.83768764E-06|11.8586306    |88.1413666    |100           
   107437.5     3.26172034E-06|11.8625039    |88.1374928         2.78646537E-06|11.8304034    |88.1695938    |100           
   107550.0     3.20337218E-06|11.8343011    |88.1656957         2.7361677E-06 |11.8022434    |88.1977539    |100           
   107662.5     3.14606779E-06|11.8061653    |88.1938316         2.68677794E-06|11.7741504    |88.2258469    |100           
   107775.0     3.08978851E-06|11.7780964    |88.2219005         2.63827969E-06|11.7461243    |88.2538731    |100           
   107887.5     3.034516E-06  |11.7500942    |88.2499027         2.59065688E-06|11.7181649    |88.2818326    |100           
   108000.0     2.98023224E-06|11.7221586    |88.2778384         2.54389369E-06|11.690272     |88.3097255    |100           
   108112.5     2.92691955E-06|11.6942895    |88.3057076         2.49797461E-06|11.6624455    |88.337552     |100           
   108225.0     2.87456056E-06|11.6664866    |88.3335106         2.4528844E-06 |11.6346853    |88.3653122    |100           
   108337.5     2.82313821E-06|11.6387497    |88.3612474         2.4086081E-06 |11.6069912    |88.3930064    |100           
   108450.0     2.77263574E-06|11.6110789    |88.3889184         2.36513102E-06|11.5793629    |88.4206347    |100           
   108562.5     2.7230367E-06 |11.5834738    |88.4165235         2.32243873E-06|11.5518005    |88.4481972    |100           
   108675.0     2.67432492E-06|11.5559343    |88.444063          2.28051706E-06|11.5243036    |88.4756941    |100           
   108787.5     2.62648454E-06|11.5284603    |88.471537          2.23935212E-06|11.4968722    |88.5031256    |100           
   108900.0     2.57949996E-06|11.5010517    |88.4989457         2.19893023E-06|11.4695061    |88.5304917    |100           
   109012.5     2.53335588E-06|11.4737082    |88.5262893         2.15923798E-06|11.4422051    |88.5577927    |100           
   109125.0     2.48803726E-06|11.4464297    |88.5535678         2.1202622E-06 |11.4149691    |88.5850288    |100           
   109237.5     2.44352934E-06|11.419216     |88.5807815         2.08198997E-06|11.387798     |88.6122       |100           
   109350.0     2.3998176E-06 |11.3920671    |88.6079305         2.04440858E-06|11.3606915    |88.6393065    |100           
   109462.5     2.35688782E-06|11.3649827    |88.6350149         2.00750556E-06|11.3336495    |88.6663485    |100           
   109575.0     2.314726E-06  |11.3379627    |88.662035          1.97126866E-06|11.3066719    |88.6933261    |100           
   109687.5     2.2733184E-06 |11.3110069    |88.6889908         1.93568587E-06|11.2797585    |88.7202395    |100           
   109800.0     2.23265153E-06|11.2841153    |88.7158825         1.90074537E-06|11.2529092    |88.7470889    |100           
   109912.5     2.19271214E-06|11.2572875    |88.7427103         1.86643557E-06|11.2261238    |88.7738744    |100           
   110025.0     2.15348722E-06|11.2305235    |88.7694743         1.83274508E-06|11.1994021    |88.800596     |100           
   110137.5     2.11496398E-06|11.2038232    |88.7961747         1.79966274E-06|11.1727441    |88.8272541    |100           
   110250.0     2.07712988E-06|11.1771864    |88.8228116         1.76717755E-06|11.1461495    |88.8538488    |100           
   110362.5     2.03997258E-06|11.1506128    |88.8493851         1.73527875E-06|11.1196182    |88.8803801    |100           
   110475.0     2.00347998E-06|11.1241025    |88.8758955         1.70395574E-06|11.09315      |88.9068483    |100           
   110587.5     1.96764019E-06|11.0976552    |88.9023429         1.67319813E-06|11.0667449    |88.9332534    |100           
   110700.0     1.93244152E-06|11.0712707    |88.9287274         1.64299572E-06|11.0404026    |88.9595957    |100           
   110812.5     1.89787252E-06|11.044949     |88.9550491         1.61333848E-06|11.014123     |88.9858754    |100           
   110925.0     1.86392192E-06|11.0186899    |88.9813083         1.58421658E-06|10.987906     |89.0120924    |100           
   111037.5     1.83057865E-06|10.9924931    |89.007505          1.55562035E-06|10.9617514    |89.0382471    |100           
   111150.0     1.79783185E-06|10.9663587    |89.0336395         1.5275403E-06 |10.935659     |89.0643395    |100           
   111262.5     1.76567085E-06|10.9402864    |89.0597118         1.49996712E-06|10.9096287    |89.0903698    |100           
   111375.0     1.73408517E-06|10.9142761    |89.0857221         1.47289165E-06|10.8836604    |89.1163381    |100           
   111487.5     1.70306452E-06|10.8883277    |89.1116706         1.44630491E-06|10.8577539    |89.1422446    |100           
   111600.0     1.67259879E-06|10.8624409    |89.1375575         1.42019809E-06|10.8319091    |89.1680895    |100           
   111712.5     1.64267806E-06|10.8366156    |89.1633827         1.3945625E-06 |10.8061258    |89.1938728    |100           
   111825.0     1.61329257E-06|10.8108518    |89.1891466         1.36938966E-06|10.7804039    |89.2195948    |100           
   111937.5     1.58443275E-06|10.7851492    |89.2148492         1.34467121E-06|10.7547431    |89.2452555    |100           
   112050.0     1.5560892E-06 |10.7595078    |89.2404907         1.32039894E-06|10.7291435    |89.2708552    |100           
   112162.5     1.52825268E-06|10.7339272    |89.2660712         1.29656481E-06|10.7036048    |89.2963939    |100           
   112275.0     1.50091412E-06|10.7084075    |89.291591          1.2731609E-06 |10.6781269    |89.3218718    |100           
   112387.5     1.47406461E-06|10.6829485    |89.31705           1.25017944E-06|10.6527096    |89.3472891    |100           
   112500.0     1.44769541E-06|10.65755      |89.3424485         1.22761282E-06|10.6273529    |89.3726459    |100           
   112612.5     1.42179792E-06|10.6322119    |89.3677867         1.20545354E-06|10.6020565    |89.3979423    |100           
   112725.0     1.3963637E-06 |10.606934     |89.3930646         1.18369425E-06|10.5768203    |89.4231785    |100           
   112837.5     1.37138447E-06|10.5817163    |89.4182824         1.16232773E-06|10.5516442    |89.4483547    |100           
   112950.0     1.34685209E-06|10.5565584    |89.4434402         1.14134689E-06|10.526528     |89.4734709    |100           
   113062.5     1.32275856E-06|10.5314604    |89.4685382         1.12074477E-06|10.5014716    |89.4985273    |100           
   113175.0     1.29909604E-06|10.5064221    |89.4935766         1.10051453E-06|10.4764748    |89.5235241    |100           
   113287.5     1.27585681E-06|10.4814433    |89.5185554         1.08064947E-06|10.4515375    |89.5484614    |100           
   113400.0     1.2530333E-06 |10.4565239    |89.5434749         1.06114298E-06|10.4266596    |89.5733393    |100           
   113512.5     1.23061808E-06|10.4316637    |89.5683351         1.0419886E-06 |10.4018409    |89.5981581    |100           
   113625.0     1.20860384E-06|10.4068626    |89.5931362         1.02317997E-06|10.3770813    |89.6229177    |100           
   113737.5     1.1869834E-06 |10.3821205    |89.6178783         1.00471084E-06|10.3523806    |89.6476184    |100           
   113850.0     1.16574973E-06|10.3574372    |89.6425616         9.86575102E-07|10.3277387    |89.6722603    |100           
   113962.5     1.1448959E-06 |10.3328126    |89.6671862         9.68766723E-07|10.3031555    |89.6968436    |100           
   114075.0     1.12441512E-06|10.3082465    |89.6917523         9.51279798E-07|10.2786308    |89.7213683    |100           
   114187.5     1.10430072E-06|10.2837389    |89.71626           9.34108524E-07|10.2541644    |89.7458346    |100           
   114300.0     1.08454614E-06|10.2592895    |89.7407094         9.17247204E-07|10.2297563    |89.7702428    |100           
   114412.5     1.06514494E-06|10.2348982    |89.7651007         9.00690243E-07|10.2054063    |89.7945928    |100           
   114525.0     1.04609081E-06|10.210565     |89.789434          8.84432147E-07|10.1811143    |89.8188849    |100           
   114637.5     1.02737753E-06|10.1862896    |89.8137094         8.6846752E-07 |10.15688      |89.8431191    |100           
   114750.0     1.00899901E-06|10.1620718    |89.8379271         8.52791067E-07|10.1327035    |89.8672957    |100           
   114862.5     9.90949259E-07|10.1379117    |89.8620873         8.37397585E-07|10.1085845    |89.8914147    |100           
   114975.0     9.73222396E-07|10.113809     |89.88619           8.22281965E-07|10.0845229    |89.9154763    |100           
   115087.5     9.55812645E-07|10.0897636    |89.9102354         8.07439194E-07|10.0605186    |89.9394806    |100           
   115200.0     9.38714333E-07|10.0657754    |89.9342236         7.92864345E-07|10.0365714    |89.9634278    |100           
   115312.5     9.21921888E-07|10.0418442    |89.9581548         7.78552582E-07|10.0126813    |89.9873179    |100           
   115425.0     9.0542984E-07 |10.0179699    |89.9820292         7.64499157E-07|9.98884797    |90.0111513    |100           
   115537.5     8.89232814E-07|9.99415241    |90.0058467         7.50699406E-07|9.9650714     |90.0349278    |100           
   115650.0     8.73325533E-07|9.97039151    |90.0296076         7.37148751E-07|9.94135143    |90.0586478    |100           
   115762.5     8.57702814E-07|9.94668709    |90.0533121         7.23842694E-07|9.91768791    |90.0823114    |100           
   115875.0     8.42359566E-07|9.92303903    |90.0769601         7.10776821E-07|9.89408072    |90.1059186    |100           
   115987.5     8.2729079E-07 |9.8994472     |90.100552          6.97946796E-07|9.87052972    |90.1294696    |100           
   116100.0     8.12491575E-07|9.87591145    |90.1240877         6.85348362E-07|9.84703478    |90.1529645    |100           
   116212.5     7.97957101E-07|9.85243166    |90.1475675         6.72977339E-07|9.82359577    |90.1764036    |100           
   116325.0     7.8368263E-07 |9.82900769    |90.1709915         6.60829622E-07|9.80021255    |90.1997868    |100           
   116437.5     7.69663512E-07|9.80563941    |90.1943598         6.4890118E-07 |9.77688499    |90.2231144    |100           
   116550.0     7.55895179E-07|9.78232669    |90.2176726         6.37188054E-07|9.75361295    |90.2463864    |100           
   116662.5     7.42373144E-07|9.75906939    |90.2409299         6.25686359E-07|9.73039631    |90.2696031    |100           
   116775.0     7.29093002E-07|9.73586739    |90.2641319         6.14392277E-07|9.70723493    |90.2927645    |100           
   116887.5     7.16050425E-07|9.71272055    |90.2872787         6.03302061E-07|9.68412868    |90.3158707    |100           
   117000.0     7.03241164E-07|9.68962874    |90.3103706         5.92412032E-07|9.66107744    |90.338922     |100           
   117112.5     6.90661045E-07|9.66659183    |90.3334075         5.81718576E-07|9.63808106    |90.3619184    |100           
   117225.0     6.78305968E-07|9.64360969    |90.3563896         5.71218144E-07|9.61513942    |90.38486      |100           
   117337.5     6.66171909E-07|9.62068219    |90.3793171         5.60907252E-07|9.59225238    |90.4077471    |100           
   117450.0     6.54254913E-07|9.5978092     |90.4021901         5.50782479E-07|9.56941983    |90.4305796    |100           
   117562.5     6.42551098E-07|9.57499059    |90.4250088         5.40840465E-07|9.54664162    |90.4533578    |100           
   117675.0     6.31056649E-07|9.55222623    |90.4477731         5.31077912E-07|9.52391764    |90.4760818    |100           
   117787.5     6.19767822E-07|9.52951599    |90.4704834         5.2149158E-07 |9.50124774    |90.4987517    |100           
   117900.0     6.08680939E-07|9.50685975    |90.4931396         5.12078288E-07|9.47863181    |90.5213677    |100           
   118012.5     5.97792386E-07|9.48425736    |90.515742          5.02834912E-07|9.4560697     |90.5439298    |100           
   118125.0     5.87098615E-07|9.46170872    |90.5382907         4.93758386E-07|9.43356131    |90.5664382    |100           
   118237.5     5.76596143E-07|9.43921368    |90.5607857         4.84845698E-07|9.41110649    |90.588893     |100           
   118350.0     5.66281548E-07|9.41677213    |90.5832273         4.7609389E-07 |9.38870511    |90.6112944    |100           
   118462.5     5.56151468E-07|9.39438393    |90.6056155         4.67500058E-07|9.36635706    |90.6336425    |100           
