Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 14.0625 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.5362038412914 at t = 14526.5625 s

    Time                           Analytical                                             Numerical                         
     (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     3290.625     58.9793264    |39.5044885    |1.51618512         58.9441526    |39.543892     |1.51195537    |100           
    3304.6875     58.8463991    |39.6256436    |1.52795728         58.8111547    |39.6651241    |1.52372123    |100           
      3318.75     58.7137714    |39.7464632    |1.53976545         58.6784568    |39.78602      |1.53552316    |100           
    3332.8125     58.5814426    |39.8669479    |1.55160951         58.5460583    |39.9065806    |1.54736105    |100           
     3346.875     58.449412     |39.9870986    |1.56348937         58.4139586    |40.0268066    |1.55923482    |100           
    3360.9375     58.317679     |40.106916     |1.57540493         58.282157     |40.1466987    |1.57114437    |100           
       3375.0     58.1862429    |40.226401     |1.58735609         58.1506527    |40.2662577    |1.58308958    |100           
    3389.0625     58.0551031    |40.3455542    |1.59934275         58.0194451    |40.3854845    |1.59507037    |100           
     3403.125     57.9242588    |40.4643764    |1.61136482         57.8885336    |40.5043797    |1.60708663    |100           
    3417.1875     57.7937094    |40.5828684    |1.62342219         57.7579175    |40.6229442    |1.61913827    |100           
      3431.25     57.6634542    |40.701031     |1.63551477         57.6275961    |40.7411787    |1.63122518    |100           
    3445.3125     57.5334926    |40.8188649    |1.64764246         57.4975687    |40.859084     |1.64334728    |100           
     3459.375     57.4038239    |40.9363709    |1.65980516         57.3678347    |40.9766608    |1.65550446    |100           
    3473.4375     57.2744475    |41.0535497    |1.67200277         57.2383935    |41.0939099    |1.66769662    |100           
       3487.5     57.1453626    |41.1704022    |1.6842352          57.1092443    |41.210832     |1.67992366    |100           
    3501.5625     57.0165687    |41.2869289    |1.69650235         56.9803865    |41.327428     |1.6921855     |100           
     3515.625     56.8880651    |41.4031308    |1.70880412         56.8518195    |41.4436985    |1.70448203    |100           
    3529.6875     56.759851     |41.5190085    |1.72114042         56.7235425    |41.5596443    |1.71681315    |100           
      3543.75     56.631926     |41.6345629    |1.73351115         56.595555     |41.6752662    |1.72917877    |100           
    3557.8125     56.5042892    |41.7497946    |1.74591621         56.4678563    |41.7905649    |1.74157879    |100           
     3571.875     56.3769402    |41.8647043    |1.75835551         56.3404457    |41.9055412    |1.75401312    |100           
    3585.9375     56.2498781    |41.9792929    |1.77082896         56.2133226    |42.0201958    |1.76648166    |100           
       3600.0     56.1231024    |42.0935611    |1.78333645         56.0864863    |42.1345294    |1.77898431    |100           
    3614.0625     55.9966125    |42.2075097    |1.79587789         55.9599362    |42.2485428    |1.79152098    |100           
