Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 56.25 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.61307233309724 at t = 14512.5 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     6637.5     34.4730695    |60.3878803    |5.13905025         34.3067918    |60.5710437    |5.1221645     |100           
    6693.75     34.1633376    |60.6255993    |5.21106305         33.9971609    |60.8085856    |5.19425353    |100           
     6750.0     33.8563887    |60.8602544    |5.28335694         33.6903245    |61.0430503    |5.26662526    |100           
    6806.25     33.5521976    |61.0918741    |5.35592831         33.3862574    |61.2744666    |5.33927605    |100           
     6862.5     33.2507395    |61.3204869    |5.42877354         33.0849346    |61.5028632    |5.41220226    |100           
    6918.75     32.95199      |61.5461209    |5.50188908         32.7863313    |61.7282684    |5.48540029    |100           
     6975.0     32.6559247    |61.7688039    |5.57527141         32.4904231    |61.9507103    |5.5588666     |100           
    7031.25     32.3625195    |61.9885635    |5.64891702         32.1971855    |62.1702168    |5.63259764    |100           
     7087.5     32.0717504    |62.2054271    |5.72282245         31.9065945    |62.3868156    |5.70658993    |100           
    7143.75     31.7835938    |62.4194219    |5.79698427         31.6186262    |62.6005338    |5.78084001    |100           
     7200.0     31.4980262    |62.6305747    |5.87139909         31.3332569    |62.8113986    |5.85534445    |100           
    7256.25     31.2150244    |62.838912     |5.94606354         31.0504632    |63.019437     |5.93009985    |100           
     7312.5     30.9345653    |63.0444604    |6.02097427         30.7702218    |63.2246754    |6.00510284    |100           
    7368.75     30.656626     |63.247246     |6.096128           30.4925096    |63.4271403    |6.0803501     |100           
     7425.0     30.381184     |63.4472946    |6.17152144         30.2173039    |63.6268577    |6.15583833    |100           
    7481.25     30.1082167    |63.6446319    |6.24715135         29.9445821    |63.8238537    |6.23156425    |100           
     7537.5     29.837702     |63.8392835    |6.32301452         29.6743216    |64.0181538    |6.30752463    |100           
    7593.75     29.5696178    |64.0312744    |6.39910778         29.4065004    |64.2097834    |6.38371626    |100           
     7650.0     29.3039422    |64.2206298    |6.47542796         29.1410963    |64.3987678    |6.46013595    |100           
    7706.25     29.0406537    |64.4073744    |6.55197195         28.8780876    |64.5851319    |6.53678057    |100           
